dataset,n,p,density,model,screening_type,mean_time,lo,hi
arcene,100,10000,0.540941,Logistic,Blitz,4.742230156184746,4.720034649694763,4.7644256626747294
arcene,100,10000,0.540941,Logistic,Celer,4.250494614410527,4.243744182644039,4.257245046177014
arcene,100,10000,0.540941,Logistic,Hessian,4.519979685341007,4.466666393367631,4.5732929773143836
arcene,100,10000,0.540941,Logistic,Working,3.1900677557959596,3.1660696819164547,3.2140658296754645
bcTCGA,536,17322,1,Least-Squares,Blitz,11.45163728942373,11.409530817348553,11.493743761498905
bcTCGA,536,17322,1,Least-Squares,Celer,10.830455868168421,10.725055008619389,10.935856727717454
bcTCGA,536,17322,1,Least-Squares,Hessian,2.9449461197446043,2.9374709845112106,2.952421254977998
bcTCGA,536,17322,1,Least-Squares,Working,7.60999537570404,7.602110400597268,7.617880350810812
colon-cancer,62,2000,1,Logistic,Blitz,0.21573662540169491,0.21549579727391416,0.21597745352947567
colon-cancer,62,2000,1,Logistic,Celer,0.20562267248421054,0.20512431502430248,0.2061210299441186
colon-cancer,62,2000,1,Logistic,Hessian,0.05982568186115108,0.059781826924055245,0.059869536798246914
colon-cancer,62,2000,1,Logistic,Working,0.14634875757575758,0.14621232608253312,0.14648518906898203
duke-breast-cancer,44,7129,1,Logistic,Blitz,0.26059416631186444,0.26033203296541324,0.26085629965831564
duke-breast-cancer,44,7129,1,Logistic,Celer,0.2729842691210526,0.2727901048050363,0.27317843343706893
duke-breast-cancer,44,7129,1,Logistic,Hessian,0.11223543586402877,0.11214527940091741,0.11232559232714014
duke-breast-cancer,44,7129,1,Logistic,Working,0.20483577507373738,0.20458956782492135,0.2050819823225534
e2006-log1p,16087,4272227,0.0014074729668371701,Least-Squares,Blitz,734.6076366296667,730.142418194233,739.0728550651004
e2006-log1p,16087,4272227,0.0014074729668371701,Least-Squares,Celer,789.536529028,785.1601547993412,793.9129032566589
e2006-log1p,16087,4272227,0.0014074729668371701,Least-Squares,Hessian,199.2202200431,198.4629570266942,199.9774830595058
e2006-log1p,16087,4272227,0.0014074729668371701,Least-Squares,Working,419.7117241623333,411.920274586661,427.50317373800567
e2006-tfidf,16087,150360,0.00825643866543507,Least-Squares,Blitz,322.52890238725,316.33282413763783,328.7249806368622
e2006-tfidf,16087,150360,0.00825643866543507,Least-Squares,Celer,389.277536441,345.13844679263406,433.41662608936593
e2006-tfidf,16087,150360,0.00825643866543507,Least-Squares,Hessian,12.9810188117,12.72712586629505,13.23491175710495
e2006-tfidf,16087,150360,0.00825643866543507,Least-Squares,Working,196.66380434857143,192.31350245605768,201.0141062410852
ijcnn1,35000,22,1,Logistic,Blitz,3.0470022718864405,3.0347546864080726,3.0592498573648084
ijcnn1,35000,22,1,Logistic,Celer,3.673289714326316,3.64810273682498,3.698476691827652
ijcnn1,35000,22,1,Logistic,Hessian,0.8448076587050359,0.8405086303258918,0.84910668708418
ijcnn1,35000,22,1,Logistic,Working,3.826287774671717,3.8064028732557604,3.846172676087674
madelon,2000,500,1,Logistic,Blitz,221.52766932041666,219.88260664345972,223.1727319973736
madelon,2000,500,1,Logistic,Celer,227.58460230433332,226.46303500950756,228.70616959915907
madelon,2000,500,1,Logistic,Hessian,41.19367984616667,40.69971935740335,41.68764033492998
madelon,2000,500,1,Logistic,Working,202.44196971480955,199.6752646641731,205.20867476544598
news20,19996,1355191,3.3573628909834254e-4,Logistic,Blitz,2063.473022727667,2062.6807392676437,2064.26530618769
news20,19996,1355191,3.3573628909834254e-4,Logistic,Celer,2202.4084600013334,2189.9726065471514,2214.8443134555155
news20,19996,1355191,3.3573628909834254e-4,Logistic,Hessian,1626.2147911897666,1585.6481556672295,1666.7814267123038
news20,19996,1355191,3.3573628909834254e-4,Logistic,Working,1555.9919970000951,1538.5664946351449,1573.4174993650454
rcv1,20242,47236,0.0015676936220516574,Logistic,Blitz,293.95526799466666,293.3340145469659,294.57652144236744
rcv1,20242,47236,0.0015676936220516574,Logistic,Celer,293.29950962233335,290.69118254614284,295.90783669852385
rcv1,20242,47236,0.0015676936220516574,Logistic,Hessian,389.63913651583334,386.2365257928672,393.0417472387995
rcv1,20242,47236,0.0015676936220516574,Logistic,Working,227.41016044171428,226.6658284899444,228.15449239348416
scheetz,120,18975,1,Least-Squares,Blitz,0.7138569603898305,0.7130865984473447,0.7146273223323163
scheetz,120,18975,1,Least-Squares,Celer,0.8310134144473684,0.8256059437084865,0.8364208851862504
scheetz,120,18975,1,Least-Squares,Hessian,0.3538317593208633,0.35331349186652034,0.3543500267752063
scheetz,120,18975,1,Least-Squares,Working,0.6446788178101011,0.6444346215157369,0.6449230141044652
YearPredictionMSD,463715,90,1,Least-Squares,Blitz,677.4479442325,675.4343990911093,679.4614893738908
YearPredictionMSD,463715,90,1,Least-Squares,Celer,713.5343441063334,699.6396031834568,727.42908502921
YearPredictionMSD,463715,90,1,Least-Squares,Hessian,83.49611691983334,83.1597078135528,83.83252602611388
YearPredictionMSD,463715,90,1,Least-Squares,Working,536.5554866458095,533.8260668193676,539.2849064722515
