dataset,model,n,p,density,Blitz,Celer,Hessian,Working
bcTCGA,Least-Squares,536,17322,1,11.45163728942373,10.830455868168421,2.9449461197446043,7.60999537570404
e2006-log1p,Least-Squares,16087,4272227,0.0014074729668371701,734.6076366296667,789.536529028,199.2202200431,419.7117241623333
e2006-tfidf,Least-Squares,16087,150360,0.00825643866543507,322.52890238725,389.277536441,12.9810188117,196.66380434857143
scheetz,Least-Squares,120,18975,1,0.7138569603898305,0.8310134144473684,0.3538317593208633,0.6446788178101011
YearPredictionMSD,Least-Squares,463715,90,1,677.4479442325,713.5343441063334,83.49611691983334,536.5554866458095
arcene,Logistic,100,10000,0.540941,4.742230156184746,4.250494614410527,4.519979685341007,3.1900677557959596
colon-cancer,Logistic,62,2000,1,0.21573662540169491,0.20562267248421054,0.05982568186115108,0.14634875757575758
duke-breast-cancer,Logistic,44,7129,1,0.26059416631186444,0.2729842691210526,0.11223543586402877,0.20483577507373738
ijcnn1,Logistic,35000,22,1,3.0470022718864405,3.673289714326316,0.8448076587050359,3.826287774671717
madelon,Logistic,2000,500,1,221.52766932041666,227.58460230433332,41.19367984616667,202.44196971480955
news20,Logistic,19996,1355191,3.3573628909834254e-4,2063.473022727667,2202.4084600013334,1626.2147911897666,1555.9919970000951
rcv1,Logistic,20242,47236,0.0015676936220516574,293.95526799466666,293.29950962233335,389.63913651583334,227.41016044171428
